"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"California College San Diego","277 Rancheros Drive, Suite 200, San Marcos, California 92069-2971","www.cc-sd.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","327","327","NA","NA","Fall 2011","$27,387","-","478634","02110802"
"California Health Sciences University","120 North Clovis Avenue, Clovis, California 93612","https://chsu.edu/","4-year, Private for-profit","Doctor's degree - professional practice","Suburb: Large","No","259","","NA","NA","Fall 2011","NA","-","488572",""
"California Institute of Advanced Management","1000 S. Fremont Ave. Mailbox #45, Bldg A10, 4th Floor, Suite 10402, Alhambra, California 91803","ciam.edu","4-year, Private not-for-profit","Master's degree","Suburb: Large","No","33","","NA","NA","Fall 2011","NA","Business Administration and Management, General","487649","04250600"
"California Institute of Integral Studies","1453 Mission Street, San Francisco, California 94103","www.ciis.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","No","1417","50","NA","NA","Fall 2011","NA","-","110316","01215400"
"California Institute of Technology","1200 E California Blvd, Pasadena, California 91125","www.caltech.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","2238","961","89%","NA","Fall 2011","$24,466","-","110404","00113100"
"California Institute of the Arts","24700 W McBean Pky, Valencia, California 91355-2397","www.calarts.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1498","984","67%","2%","Fall 2011","$51,199","-","111081","00113200"
"California Intercontinental University","17310 Red Hill Ave. Suite 200, Irvine, California 92614-5636","https://www.caluniversity.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","543","169","NA","NA","Fall 2011","$11,763","-","485546","04244000"
"California Jazz Conservatory","2087 Addison Street, Berkeley, California 94704-1268","www.cjc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","61","61","NA","NA","Fall 2011","$23,518","-","486488","04237600"
"California Lutheran University","60 W Olsen Rd, Thousand Oaks, California 91360-2787","www.callutheran.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","4236","2963","71%","10%","Fall 2011","$28,241","-","110413","00113300"
"California Miramar University","3550 Camino Del Rio North, Suite 208, San Diego, California 92108","www.calmu.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","267","87","NA","NA","Fall 2011","$9,910","-","480781","04189700"
"California Polytechnic State University-San Luis Obispo","1 Grand Ave., San Luis Obispo, California 93407","calpoly.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Small","Yes","22370","21351","79%","3%","Fall 2011","$19,002","-","110422","00114300"
"California State Polytechnic University-Pomona","3801 West Temple Avenue, Pomona, California 91768","www.cpp.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","Suburb: Large","Yes","26053","24319","66%","2%","Fall 2011","$12,634","-","110529","00114400"
"California State University Maritime Academy","200 Maritime Academy Dr, Vallejo, California 94590-8181","https://www.csum.edu","4-year, Public","Bachelor's degree|Master's degree","City: Midsize","Yes","1090","1050","64%","NA","Fall 2011","$14,599","-","111188","00113400"
"California State University-Bakersfield","9001 Stockdale Hwy, Bakersfield, California 93311-1099","www.csub.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","City: Large","Yes","10131","8814","41%","3%","Fall 2011","$6,794","-","110486","00799300"
"California State University-Channel Islands","One University Dr, Camarillo, California 93012","www.csuci.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Midsize","Yes","7455","7054","59%","7%","Fall 2011","$14,834","-","441937","03980300"
"California State University-Chico","First and Normal Sts, Chico, California 95929-0150","www.csuchico.edu","4-year, Public","Bachelor's degree|Master's degree","City: Small","Yes","17875","16710","66%","3%","Fall 2011","$14,185","-","110538","00114600"
"California State University-Dominguez Hills","1000 E Victoria St, Carson, California 90747-0005","https://www.csudh.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","Yes","16219","13278","43%","3%","Fall 2011","$4,957","-","110547","00114100"
"California State University-East Bay","25800 Carlos Bee Blvd, Hayward, California 94542","www.csueastbay.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","City: Midsize","Yes","16538","13474","42%","3%","Fall 2011","$11,425","-","110574","00113800"
"California State University-Fresno","5241 N Maple Ave, Fresno, California 93740","www.fresnostate.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","25325","22261","56%","2%","Fall 2011","$5,879","-","110556","00114700"
"California State University-Fullerton","800 N State College Blvd, Fullerton, California 92831-3599","www.fullerton.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","Suburb: Large","Yes","40905","35162","66%","2%","Fall 2011","$8,562","-","110565","00113700"
"California State University-Long Beach","1250 Bellflower Blvd, Long Beach, California 90840-0115","www.csulb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","37622","31566","69%","2%","Fall 2011","$9,654","-","110583","00113900"
"California State University-Los Angeles","5151 State University Dr, Los Angeles, California 90032-8506","www.calstatela.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","City: Large","Yes","28531","24818","47%","2%","Fall 2011","$3,907","-","110592","00114000"
"California State University-Monterey Bay","100 Campus Center, Seaside, California 93955-8001","www.csumb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Midsize","Yes","7584","6764","60%","7%","Fall 2011","$11,233","-","409698","03260300"
"California State University-Northridge","18111 Nordhoff St, Northridge, California 91330","https://www.csun.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","41319","35839","51%","7%","Fall 2011","$5,958","-","110608","00115300"
